# acc_train	loss_train	acc_val	loss_val
9.946585463258786675e+00 2.328561160511102290e+00 1.003757911392404978e+01 2.326084969918939205e+00
9.946585463258786675e+00 2.314474646656658141e+00 1.003757911392404978e+01 2.314544243148610736e+00
2.012030750798722067e+01 2.077371264037232823e+00 1.961036392405063467e+01 2.079192590109909755e+00
4.136631389776358247e+01 1.589305070261604946e+00 4.059533227848100978e+01 1.588549804083908557e+00
4.912639776357827515e+01 1.410797191504091552e+00 4.837816455696202667e+01 1.426090687136106760e+00
5.363668130990415506e+01 1.292343996203364709e+00 5.166139240506328889e+01 1.328749769850622320e+00
5.815445287539936459e+01 1.168011369796606580e+00 5.541930379746835911e+01 1.223834890353528770e+00
6.144169329073482544e+01 1.084368552453220946e+00 5.817840189873417955e+01 1.154641021656084732e+00
6.349840255591053761e+01 1.027927409536160575e+00 5.905854430379746844e+01 1.129748757126965097e+00
6.550019968051118724e+01 9.748009831760637844e-01 6.089794303797469155e+01 1.092691797998887049e+00
6.832567891373801672e+01 8.987563524764186074e-01 6.169897151898734222e+01 1.080012048347086751e+00
7.019768370607029340e+01 8.409239678337170343e-01 6.259889240506328889e+01 1.036806642254696653e+00
7.210463258785942742e+01 7.928368988128515760e-01 6.388449367088608000e+01 1.023121280760704632e+00
7.419129392971245807e+01 7.423334184546059866e-01 6.488330696202531556e+01 9.938050591492955110e-01
7.589856230031949735e+01 6.859824911664469393e-01 6.510087025316455822e+01 1.011782207066499684e+00
7.759335063897762552e+01 6.438734759918798289e-01 6.539754746835443200e+01 9.804209048234964197e-01
7.958516373801917609e+01 5.800336159456270790e-01 6.619857594936708267e+01 9.941254160072230395e-01
8.111521565495208108e+01 5.436361054071603416e-01 6.653481012658227201e+01 9.811784081821199877e-01
8.278504392971245807e+01 4.974379495690806063e-01 6.716772151898734933e+01 9.783845845657058726e-01
8.390824680511181555e+01 4.614223695029846528e-01 6.652492088607594667e+01 1.019828348974638255e+00
