# acc_train	loss_train	acc_val	loss_val
2.621305910543130935e+01 1.974677655262688125e+00 2.596914556962025600e+01 1.973180865939659467e+00
4.032298322683706004e+01 1.630303112462686554e+00 3.969541139240506311e+01 1.624090502533731550e+00
4.777855431309904333e+01 1.438445392508095555e+00 4.732001582278481067e+01 1.451697654361966183e+00
5.360423322683706004e+01 1.283097036730367124e+00 5.155261075949366756e+01 1.316712614856188734e+00
5.838907747603834508e+01 1.163597132070376849e+00 5.575553797468354134e+01 1.210214533383333180e+00
6.391273961661342184e+01 1.012488679573558814e+00 5.947389240506328889e+01 1.102315540555157236e+00
6.645367412140575425e+01 9.464582633286618973e-01 6.196598101265823288e+01 1.078529925286015434e+00
7.274860223642171775e+01 7.804451304883621710e-01 6.589200949367088356e+01 9.521597827537150449e-01
7.624051517571885483e+01 6.772333042690167337e-01 6.834454113924050489e+01 8.900816689563703088e-01
8.090804712460062831e+01 5.564500520023675234e-01 7.028283227848100978e+01 8.414150159570235044e-01
8.359125399361022346e+01 4.826033176324618923e-01 7.148931962025316977e+01 8.006765140762811539e-01
8.619458865814696935e+01 4.108383697442734017e-01 7.214200949367088356e+01 8.008870014661475523e-01
8.771715255591054472e+01 3.580458081854037133e-01 7.259691455696201956e+01 8.309880231000199569e-01
8.923971645367412009e+01 3.125140373699200613e-01 7.229034810126582045e+01 8.612345268454733027e-01
9.003843849840255587e+01 2.878603841454838164e-01 7.223101265822784001e+01 8.822931330415266782e-01
9.251198083067092170e+01 2.140821260861314468e-01 7.399129746835443200e+01 8.543470675432229822e-01
9.233975638977636891e+01 2.204018467055341990e-01 7.355617088607594667e+01 8.765850127497806232e-01
9.403953674121406436e+01 1.749807296517177091e-01 7.462420886075949511e+01 8.777113481412960327e-01
9.343550319488818445e+01 1.870249428640539391e-01 7.408030063291138845e+01 9.456608604781234773e-01
9.510533146964856144e+01 1.421148108717161240e-01 7.435719936708861155e+01 8.804332795022409286e-01
