# acc_train	loss_train	acc_val	loss_val
1.003144968051118191e+01 2.363123093169337441e+00 9.701344936708860445e+00 2.360815947568869255e+00
1.940644968051118013e+01 2.090953314266265739e+00 1.983781645569620267e+01 2.081229901011985906e+00
2.476287939297124652e+01 1.907970497402520227e+00 2.485166139240506311e+01 1.900152470492109558e+00
3.284494808306709501e+01 1.749599499062608254e+00 3.190268987341772089e+01 1.749374285528931372e+00
4.343799920127795389e+01 1.515636747637495896e+00 4.293908227848100978e+01 1.524193427230738473e+00
4.853234824281150139e+01 1.406341991104637756e+00 4.805181962025316977e+01 1.419915214369568579e+00
5.310003993610224171e+01 1.291305624258023199e+00 5.149327531645570133e+01 1.322038796883595158e+00
5.737819488817891056e+01 1.188143637804939257e+00 5.530063291139239823e+01 1.243677844729604631e+00
5.737819488817891056e+01 1.174297334667973702e+00 5.541930379746835911e+01 1.233706244185001077e+00
6.197084664536741627e+01 1.076969550059626357e+00 5.790150316455696355e+01 1.179056697253939578e+00
6.424720447284344971e+01 1.005792382426155207e+00 5.974090189873417955e+01 1.109974742690219118e+00
6.833566293929712288e+01 9.055072926103878705e-01 6.255933544303798044e+01 1.054425697537917150e+00
6.936651357827476261e+01 8.612742347839160706e-01 6.290545886075948800e+01 1.045529558688779392e+00
7.234424920127796099e+01 7.862996382835193421e-01 6.458662974683544178e+01 9.929378077953676662e-01
7.628294728434504179e+01 6.858381672789113370e-01 6.648536392405063111e+01 9.641145784643632144e-01
7.799770367412141070e+01 6.373055047882251190e-01 6.785007911392405333e+01 9.320443559296524016e-01
7.881639376996804458e+01 6.195280207231783631e-01 6.727650316455697066e+01 9.741871794567832366e-01
8.158196884984025132e+01 5.434048755671649911e-01 6.896756329113924266e+01 9.049643564827835052e-01
8.297723642172523739e+01 4.959652355303779681e-01 6.920490506329115021e+01 9.335815189759942845e-01
8.338408546325878490e+01 4.893277353181625933e-01 6.856210443037974755e+01 9.502374295946918181e-01
