# acc_train	loss_train	acc_val	loss_val
3.824880191693290499e+01 1.700884991560500215e+00 3.783623417721518933e+01 1.696287583701218127e+00
4.973043130990415506e+01 1.386877576002297774e+00 4.960443037974683023e+01 1.385846352275413862e+00
5.493710063897763263e+01 1.267358136634095356e+00 5.295688291139239823e+01 1.299800654000873745e+00
5.980181709265175272e+01 1.126378602874926527e+00 5.685324367088608000e+01 1.182841542400891344e+00
6.413987619808307272e+01 1.003604453021345044e+00 6.005735759493671111e+01 1.089225382744511528e+00
6.921675319488818445e+01 8.734490580071275767e-01 6.412183544303798044e+01 9.872367615941204377e-01
7.149311102236421789e+01 8.195294806370719831e-01 6.538765822784810666e+01 9.638840450516229508e-01
7.519468849840255587e+01 7.178596917051858206e-01 6.770174050632911644e+01 9.106203559078748233e-01
7.842202476038339398e+01 6.228731963962030882e-01 6.946202531645569422e+01 8.514105209821387632e-01
8.047124600638977654e+01 5.553328016885934471e-01 7.067840189873417955e+01 8.286109634592563333e-01
8.273761980830670382e+01 5.066851529831322143e-01 7.204311708860760177e+01 7.934269641019120467e-01
8.429263178913738841e+01 4.514529679339533974e-01 7.238924050632911644e+01 8.060319099245192298e-01
8.619458865814696935e+01 3.978442732518473468e-01 7.300237341772152888e+01 7.704722722874411955e-01
8.668380591054312845e+01 3.843096389938086554e-01 7.322982594936708267e+01 7.977610464337505647e-01
8.866313897763578211e+01 3.247668871197837426e-01 7.316060126582279111e+01 8.117297359659702005e-01
8.951178115015974868e+01 3.001556664038770861e-01 7.354628164556962133e+01 8.159999130647394017e-01
9.064247204472843578e+01 2.660386467608399919e-01 7.539556962025316977e+01 8.068859894064408511e-01
9.189796325878593564e+01 2.374915320652361550e-01 7.477254746835443200e+01 8.263165090657487166e-01
9.255441293929712288e+01 2.173663641269595603e-01 7.520767405063291733e+01 7.954715841178652269e-01
9.306859025559106158e+01 2.014627996058509785e-01 7.503955696202531556e+01 8.288590523261057941e-01
