# acc_train	loss_train	acc_val	loss_val
4.210263578274760476e+01 1.581018359135514917e+00 4.260284810126582045e+01 1.565166090108171204e+00
5.619758386581469267e+01 1.240324534928075151e+00 5.587420886075948800e+01 1.239628778228276884e+00
6.416234025559106158e+01 1.011899862997828858e+00 6.304390822784809956e+01 1.040970276428174301e+00
7.160543130990416216e+01 8.188691565784783633e-01 6.958069620253164089e+01 8.510950464236585189e-01
7.478783945686900836e+01 7.195781040877199386e-01 7.349683544303798044e+01 7.576976886278465884e-01
7.810253594249201115e+01 6.308015286922454834e-01 7.507911392405063111e+01 6.928457727160635127e-01
8.071086261980831011e+01 5.584358382529724940e-01 7.732397151898734933e+01 6.391493236716789816e-01
8.251297923322682948e+01 5.022345086256154723e-01 7.867879746835443200e+01 5.933589056322846611e-01
8.345147763578275146e+01 4.734330137316792309e-01 7.938093354430380089e+01 5.864784404446806709e-01
8.452226437699680162e+01 4.476026559409241878e-01 7.913370253164556800e+01 5.876573297796370277e-01
8.605730830670927389e+01 4.009773473674878019e-01 8.085443037974683023e+01 5.467218673681910612e-01
8.696086261980831011e+01 3.689556204187222632e-01 8.092365506329115021e+01 5.396492730213117150e-01
8.862819488817891056e+01 3.256095722555733540e-01 8.204113924050633955e+01 5.051497160633907635e-01
8.840854632587858930e+01 3.244952069113429816e-01 8.171479430379746134e+01 5.201436507550976085e-01
8.932707667731629897e+01 3.038557402242105798e-01 8.204113924050633955e+01 5.150376347046864423e-01
9.061501597444089384e+01 2.700826884172976006e-01 8.256526898734176712e+01 5.119030290766607427e-01
9.035293530351438562e+01 2.713625621967041268e-01 8.248615506329115021e+01 5.028802782674378635e-01
9.172823482428114517e+01 2.318778979226042425e-01 8.313884493670884979e+01 4.932881488075739340e-01
9.133386581469649457e+01 2.477068875830013561e-01 8.240704113924050489e+01 5.401619706727280867e-01
9.253694089456868710e+01 2.099742489262891587e-01 8.313884493670884979e+01 5.200216924842400168e-01
