# acc_train	loss_train	acc_val	loss_val
3.504392971246006283e+01 1.771919635918955516e+00 3.521558544303797333e+01 1.762915365303618920e+00
4.206769169329074032e+01 1.560494173829928721e+00 4.151503164556962133e+01 1.553005944324445053e+00
5.155001996805111730e+01 1.351729575056618504e+00 5.033623417721518933e+01 1.361604612084883703e+00
5.659195287539936459e+01 1.206768646026952663e+00 5.496439873417720889e+01 1.239679433122465868e+00
6.321385782747604054e+01 1.031561471212405268e+00 6.087816455696201956e+01 1.089765663388409189e+00
6.808606230031949735e+01 9.063955345473730940e-01 6.438884493670884979e+01 9.989982594417620154e-01
6.973342651757188548e+01 8.396908852239005627e-01 6.496242088607594667e+01 9.655870274652408325e-01
7.538937699680511173e+01 7.048508627727009257e-01 6.866099683544302934e+01 8.887542297568502558e-01
8.038138977635782112e+01 5.638710892619416271e-01 7.263647151898734933e+01 7.637157900423943158e-01
8.128244808306709501e+01 5.274784532598794096e-01 7.240901898734176712e+01 7.805469469933570270e-01
8.235573083067092170e+01 4.990449805800526439e-01 7.232990506329115021e+01 7.936295384093176031e-01
8.467452076677317052e+01 4.271474798171284171e-01 7.379351265822784001e+01 7.872858590717557448e-01
9.010583067092650822e+01 2.876928162555725255e-01 7.617681962025316977e+01 6.957901139048081607e-01
9.113418530351438562e+01 2.593505373492408506e-01 7.683939873417720889e+01 6.901276036153866089e-01
9.050519169329072611e+01 2.745081095602184829e-01 7.520767405063291733e+01 7.979604473596886294e-01
9.276407747603833798e+01 2.088267235948254863e-01 7.718552215189873777e+01 7.409845285023315409e-01
9.316343849840255587e+01 1.977178488438502690e-01 7.627571202531645156e+01 7.972404119334642880e-01
9.445387380191692728e+01 1.600639337358383263e-01 7.742286392405063111e+01 7.575824551190002420e-01
9.597144568690096378e+01 1.159869778437165044e-01 7.893591772151899022e+01 7.573178576517708427e-01
9.550469249201277933e+01 1.298683636104717709e-01 7.883702531645569422e+01 7.931096391587317829e-01
