# acc_train	loss_train	acc_val	loss_val
3.921974840255590777e+01 1.656823875805059521e+00 3.965585443037974755e+01 1.643187983126579876e+00
4.925369408945686445e+01 1.399376221739065063e+00 4.823971518987341511e+01 1.415737832648844563e+00
5.701377795527156422e+01 1.211539533191595686e+00 5.548852848101265778e+01 1.242848092996621467e+00
6.083516373801916899e+01 1.091765293298057049e+00 5.823773734177215289e+01 1.148879847949064281e+00
6.479632587859424575e+01 9.887848563087634490e-01 6.069026898734176712e+01 1.084268776676322821e+00
7.056210063897762552e+01 8.443460605395868290e-01 6.547666139240506311e+01 9.816993452325651903e-01
7.567641773162939955e+01 7.032077467670074800e-01 6.888844936708861155e+01 8.571138902555538452e-01
7.847444089456868710e+01 6.128292565528576930e-01 7.059928797468354844e+01 8.320383210725421641e-01
8.179163338658148064e+01 5.255863151420800961e-01 7.248813291139239823e+01 7.723896548717836819e-01
8.278753993610223461e+01 4.924767729573356623e-01 7.237935126582279111e+01 7.940339891216422474e-01
8.630191693290734634e+01 3.982457625218473463e-01 7.396162974683544178e+01 7.582492062562629087e-01
8.906000399361022346e+01 3.221569408814366486e-01 7.528678797468354844e+01 7.276625584197949914e-01
8.925968450479233240e+01 3.088520192585814117e-01 7.440664556962025245e+01 7.861975039107890195e-01
9.017072683706069824e+01 2.819001633709611876e-01 7.498022151898734933e+01 7.938272492795050983e-01
9.240714856230032126e+01 2.221786300785625334e-01 7.614715189873417955e+01 7.702982569042640115e-01
9.343799920127796099e+01 1.943694360720844561e-01 7.600870253164556800e+01 7.885719235939315785e-01
9.284894169329072611e+01 1.990053496136071076e-01 7.589003164556962133e+01 8.312837466408934395e-01
9.420427316293930176e+01 1.652442263885618434e-01 7.630537974683544178e+01 8.143059241620800304e-01
9.531000399361022346e+01 1.330644293500782838e-01 7.695806962025316977e+01 8.302865862091884930e-01
9.518520367412141070e+01 1.397525469620768679e-01 7.726463607594936889e+01 7.969084887564936714e-01
