# acc_train	loss_train	acc_val	loss_val
4.515774760383386166e+01 1.513798108116125585e+00 4.470925632911392000e+01 1.508696531947655073e+00
5.385882587859425286e+01 1.283712218363825874e+00 5.283821202531645866e+01 1.295490720604039359e+00
5.989167332268370103e+01 1.123764716398220953e+00 5.769382911392405333e+01 1.161225229878968923e+00
6.542781549520766760e+01 9.778732120419462159e-01 6.219343354430380089e+01 1.060029969939702665e+00
7.020267571884983226e+01 8.462534556373620953e-01 6.517009493670884979e+01 9.579750842685941237e-01
7.474291134185303065e+01 7.295324863336337673e-01 6.885878164556962133e+01 8.774919751324231632e-01
7.872154552715655029e+01 6.144313336180421414e-01 7.203322784810126223e+01 7.972011573707000753e-01
8.077326277955270939e+01 5.546834386004426687e-01 7.258702531645569422e+01 7.838035150419307984e-01
8.368111022364217888e+01 4.692283001380225804e-01 7.386273734177215999e+01 7.496941904478435781e-01
8.578274760383386877e+01 4.124751097668474253e-01 7.503955696202531556e+01 7.301682988299599275e-01
8.680361421725240234e+01 3.809436006477465719e-01 7.528678797468354844e+01 7.210942827448060255e-01
8.831619408945687155e+01 3.365581560249145676e-01 7.530656645569619911e+01 7.524536169027979948e-01
9.036541533546326832e+01 2.786701757925006406e-01 7.649327531645569422e+01 7.060263028627709048e-01
9.060003993610223461e+01 2.718250631524350980e-01 7.678995253164556800e+01 7.212394189231002839e-01
9.147863418530350543e+01 2.463487387655642069e-01 7.603837025316455822e+01 7.721325921106941825e-01
9.291882987220448342e+01 2.034845519513367729e-01 7.658227848101265067e+01 7.577713814717305096e-01
9.320337460063898050e+01 1.983678699634707499e-01 7.685917721518987378e+01 7.727650143677675665e-01
9.400459265175719281e+01 1.721091080254640027e-01 7.753164556962025245e+01 7.621183206763448847e-01
9.345297523961660602e+01 1.862456735711509048e-01 7.653283227848100978e+01 8.069731872293013364e-01
9.457867412140575425e+01 1.516708983019137147e-01 7.708662974683544178e+01 7.895137445081638061e-01
